review,sentiment
i always wrote this series off as being a complete stink fest because jim belushi was involved in it and heavily but then one day a tragic happenstance occurred after a white sox game ended i realized that the remote was all the way on the other side of the room somehow now i could have just gotten up and walked across the room to get the remote or even to the tv to turn the channel but then why not just get up and walk across the country to watch tv in another state nuts to that i said so i decided to just hang tight on the couch and take whatever fate had in store for me what fate had in store was an episode of this show an episode about which i remember very little except that i had once again made a very broad general sweeping blanket judgment based on zero objective or experiential evidence with nothing whatsoever to back my opinions up with and once again i was completely right this show is a total crud pie belushi has all the comedic delivery of a hairy lighthouse foghorn the women are physically attractive but too stepford is to elicit any real feeling from the viewer there is absolutely no reason to stop yourself from running down to the local tv station with a can of gasoline and a flamethrower and sending every copy of this mutt howling back to hell except except for the wonderful comic sty lings of larry joe campbell america s greatest comic character actor this guy plays belushi s brother in law andy and he is gold how good is he really well aside from being funny his job is to make belushi look good that s like trying to make butt warts look good but campbell pulls it off with style someone should invent a nobel prize in comic buffoonery so he can win it every year without larry joe this show would consist of a slightly vacant looking courtney thorne smith smacking belushi over the head with a frying pan while he alternately beats his chest and plays with the straw on the floor of his cage stars for larry joe campbell designated comedic bacon because he improves the flavor of everything he s in,0
st watched out of dir steve purcell typical mary kate ashley fare with a few more kisses it looks to me like the girls are getting pretty tired of this stuff and it will be interesting what happens to them if they ever decide to split up and go there own ways in this episode of their adventures they are interns in rome for a fashion designer who puts them right into the mailroom to learn what working hard is all about i guess besides the typical flirtations with boys there is nothing much else except the rome scenario until about way into the movie when it s finally revealed why they are getting fired then re hired then fired again then re hired again this is definetly made by people who don t understand the corporate world and it shows in their interpretation of it maybe the real world will be their next adventure if there is one even my kids didn t seem to care for this boring adventure in the make believe let s see they probably only have a couple of years till their legal adults we ll see what happens then,0
this movie was so poorly written and directed i fell asleep minutes through the movie the jokes in the movie are corny and even though the plot is interesting at some angles it is too far fetched and at some points ridiculous if you are or older you will overlook the writing in the movie and be disappointed but if you are or younger this is a film that will capture your attention and be amazed with all the stunts which i might add are poorly done and wish you were some warrior to the casting in this movie wasn t very good and the music was very disappointing because it was like they were trying to build up the tension but it didn t fit at all on a scale of being excellent being horrible the acting in this movie is a brenda song is talented in comedy but with this kind of movie in some of the more serious scenes her acting was laughable when she made some of her fighting poses i started laughing out loud i think the worst thing about this movie is definitely the directing for example the part where her enemy turns out to be the person the evil villain is possesing how her voice turns dark and evil i think that was incredibly stupid and how wendy s brenda song teachers were all her teachers at school being possessed by monks that was pretty ridiculous to so to sumamrize it all a disappointing movie but okay if you re or under,0
the most interesting thing about miryang secret sunshine is the actors jeon do yeon as lee shin ae the main character is a woman with a young son whose husband has died in a tragic accident and who leaves seoul to live in miryang which was his home town with her young son jeon s face is very changeable she is girlish flirtatious elegant aged and sad desperate and joyous with it and terribly isolated by turns and it s all in her face the film also stars song kang ho as kim a man who meets her when her car breaks down coming into miryang who happens to run a garage in town and who follows her around all the time thereafter despite her apparent lack of interest in his attentions song is the biggest star in korea right now renowned for his work with park chan wook and bong joon ho sympathy for mr vengeance memories of murder and the host and yet here he plays a throwaway character almost a forgotten man but of course he makes him interesting and curiously appealing he is the essential ballast to keep jeon s character from floating away lee shin ae is a piano teacher she comes to the new town which is a neutral place a kind of poor man s seoul a town just like anywhere else as kim says just as he is in a way just like anyone else her little boy is sprightly as little boys are but plainly damaged and withdrawn at times too his father used to snore and when he misses him he lies awake pretending to snore he goes to school and shin ae meets parents and students and shopkeepers there is a sense of place in the film even though the place is in a sense anywhere people speak in the local dialect and everyone knows everything and shin ae s seoul origin is immediately noticed is life really harsher here away from the big city and its sophistication shin ae seems not to realize the danger she is in something terrible happens and shin ae doesn t necessarily deal with it in the best possible way but it happens and she must face the consequences but she can t she goes to pieces a perpetrator is caught but that s no consolation eventually she becomes so despairing she relents and goes to a born again christian meeting an acquaintance has been pressing her to attend she finds peace and release with this but when she decides not only to forgive the perpetrator but to go to the prison to tell him so that experience is full of ironies and it destroys her all over again she becomes embittered and desperate and she no longer finds solace in religion and it gets worse than that jeon do yeon gives her all in this extremely demanding and protean role lee chang dong may be a very good director if an actor of the stature of song kang ho expresses enormous admiration for him that is convincing according to scott foundas of la weekly lee s first three films green fish peppermint candy and oasis have marked him out as one of the leading figures of his country s recent cinematic renaissance but this is not as successful a film as those of other korean directors whose work i ve seen such as yong sang soo bong joon ho and the prodigiously almost perversely gifted park chan wook it may indeed begin as foundas says as a kind of asiatic alice doesn t live here anymore and then abruptly and without warning turns into something of a thriller and some time after that a nearly bressonian study in human suffering but that progression not only seems random and indigestible the film sags and loses its momentum toward the end and then simply fizzles out with no sense of an ending there are also weaknesses in the action shin ae takes foolish chances with her son and makes bad choices all along if she is destined for madness like betty in jean jacques beineix s betty blue which might explain her peculiar and mistaken choices that isn t something that is properly developed this is an interesting film certainly a disturbing one but one that leaves one doubtful and dissatisfied after putting one through an emotional wringer an official selection of the new york film festival presented at lincoln center an event that has done right by korean filmmakers in the recent past,1
when i first read about berlin am meer i didn t expect much but i thought with the right people the right locations the right music and fashion you could at least make a trivial movie about the hip berlin everyone seems to be talking about but eissler failed it s so ridiculously unauthentic it s a complete misrepresentation of what it is going on in berlin s so called scene of course it s not all about hippness but you should expect more from a movie that s being sold as the definite berlin movie and apart from all the credibility stuff it really is a bad movie mediocre acting and a rather boring plot interestingly some of the actors have proved in other movies that they are actually quite talented so it really must be poor directing skills don t bother watching berlin am meer unless you are come from some small town in western germany and want to move to the big city after you finished school then you might actually find it enjoyable and totally cool,0
i saw this film on september st in indianapolis i am one of the judges for the heartland film festival that screens films for their truly moving picture award a truly moving picture explores the human journey by artistically expressing hope and respect for the positive values of life heartland gave that award to this film this is a story of golf in the early part of the th century at that time it was the game of upper class and rich gentlemen and working people could only participate by being caddies at country clubs with this backdrop this based on a true story unfolds with a young working class boy who takes on the golf establishment and the greatest golfer in the world harry vardon and the story is inspirational against all odds francis ouimet played by shia labeouf of holes gets to compete against the greatest golfers of the u s and great britain at the u s open francis is ill prepared and has a child for a caddy the caddy is hilarious and motivational and steals every scene he appears in but despite these handicaps francis displays courage spirit heroism and humility at this world class event and we learn a lot about the early years of golf for example the use of small wooden clubs the layout of the short holes the manual scoreboard the golfers swinging with pipes in their mouths the terrible conditions of the greens and fairways and the play not being canceled even in torrential rain this film has stunning cinematography and art direction and editing and with no big movie stars the story is somehow more believable this adds to the inventory of great sports movies in the vein of miracle and remember the titans fyi there is a truly moving pictures web site where there is a listing of past winners going back years,1
i saw a screening of this movie last night i had high expectations going into it but was definitely disappointed within minutes of the opening williams is already campaigning for his presidency and he becomes president in the first minutes so there goes all that aspect of the movie the first half hour are hilarious don t get me wrong the movie has its moments but after the first half hour it takes a turn for the worst it becomes less of a comedy and more of a thriller drama love story which is pointless the movie goes nowhere and stands still for a good minutes there are laughs interspersed here and there but the consistently funny part is in the beginning and only the beginning at one point the biggest cheer i heard in the audience is when a person in the crowd yelled boooo during a very confusingly emotional scene williams gives a great performance right on par with his comedic style walken also delivers a strong supporting role as only he can i think the one character that goes underrated is lewis black consistently vulgar and political its funny to see him tone it down for a pg rating overall i would not pay to see the movie afterall i saw it for free and even i was disappointed the first half hour is solid and its all downhill from there not really fitting into a category the movie realizes half way through that it should not have been anything more than a one hour comedy central special,0
william hurt may not be an american matinee idol anymore but he still has pretty good taste in b movie projects here he plays a specialist in hazardous waste clean ups with a tragic past tracking down a perennial loser on the run played by former pretty boy weller who has been contaminated with a deadly poison current pretty boy hardy kruger jr possibly more handsome than his dad is featured as weller s arrogant boss in a horrifying sequence at a chemical production plant which gets the story moving natasha mcelhone is a slightly wacky government agent looking into the incident who provides inevitable high cheekboned love interest for hero hurt michael brandon pops up to play a slimy take no prisoners type whose comeuppance you can t wait for the coca cola company wins the product placement award for as the soft drink is featured throughout the production shot lovingly on location in a wintery picture postcard hungary,1
it is a piece of crap not funny at all during the whole movie nothing ever happens i almost fell asleep which in my case happens only if a movie is rally bad that is why it didn t get awful out of but don t be fooled like i was by first review a waste of money and your time spend it on other stuff at this point i m finished with my review but i have to fill in at least ten lines of text so i will go on ctrl c ctrl v it is a piece of crap not funny at all during the whole movie nothing ever happens i almost fell asleep which in my case happens only if a movie is rally bad that is why it didn t get awful out of but don t be fooled like i was by first review a waste of money and your time spend it on other stuff it is a piece of crap not funny at all during the whole movie nothing ever happens i almost fell asleep which in my case happens only if a movie is rally bad that is why it didn t get awful out of but don t be fooled like i was by first review a waste of money and your time spend it on other stuff,0
i m bout it developed published by no limit films pros absolutely none cons i don t even know where to begin plot summary master p plays a drug dealer that looks talks and acts more like a live action cartoon character that s all the plot i got out of this movie review i remember back when i was in the ninth grade during its release and everyone in my class praised this clown called master p this movie is so bad it s not even funny all the characters in this film are extremely tired stereotypes the audio is only audible when music plays and the movie looks like it was videotaped off a public access channel luckily i didn t buy this film like all my other inner city degenerate classmates my rating out of my verdict avoid this video like its a sexually transmitted disease,0
